ShPt,Plnt,SLoc,Delivery,Material,Item_Description,DlvQty,BUn,Supplier_Name,OPS,WM,GM,Delivdate,key_plant,key_material
3000,3000,1,681134306,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134307,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134308,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134309,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134310,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134311,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134312,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134313,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134314,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134315,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134316,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134317,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134318,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134319,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134320,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134321,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134322,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134323,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
3000,3000,1,681134324,228085,Martillo perforador TE 2 120V maletín,42.0,PC,HILTI,0,0,A,2024-11-27,3000/228085,3000/228085
