POrg|Plnt|SLoc|Material|Type|Doc_Date|Supplier|Pur_Doc|Quantity|OUn|Quantity1|SKU|PGr|Net_Price|Crcy|Per|To_be_del_1|To_be_del_2|To_be_inv_1|To_be_inv_2|key_plant|key_material
8300|8330|1|2205246|NB|2024-09-13|9999       HILTI|4537360351|40.0|PC|40.0|PC|L11|8.09|USD|10.0|40.0|32.36|0.0|0.0|8330/2205246|8300/2205246
8300|8330|1|2208751|NB|2024-09-13|9999       HILTI|4537360352|200.0|PC|200.0|PC|L11|7.34|USD|10.0|200.0|146.8|0.0|0.0|8330/2208751|8300/2208751
8300|8330|1|2216386|NB|2024-09-13|9999       HILTI|4537360353|30.0|PC|30.0|PC|L11|16.19|USD|1.0|30.0|485.7|0.0|0.0|8330/2216386|8300/2216386
8300|8330|1|2216412|NB|2024-09-13|9999       HILTI|4537360354|10.0|PC|10.0|PC|L11|13.05|USD|1.0|10.0|130.5|0.0|0.0|8330/2216412|8300/2216412
8300|8330|1|2238428|NB|2024-09-13|9999       HILTI|4537360355|15.0|PC|15.0|PC|L11|33.71|USD|1.0|15.0|505.65|0.0|0.0|8330/2238428|8300/2238428
8300|8330|1|2256818|NB|2024-09-13|9999       HILTI|4537360356|20.0|PC|20.0|PC|L11|30.15|USD|10.0|20.0|60.3|0.0|0.0|8330/2256818|8300/2256818
8300|8330|1|2203523|NB|2024-09-13|9999       HILTI|4537360358|33.0|PC|33.0|PC|L11|80.45|USD|1.0|33.0|2654.85|0.0|0.0|8330/2203523|8300/2203523
8300|8330|1|2203546|NB|2024-09-13|9999       HILTI|4537360359|206.0|PC|206.0|PC|L11|31.47|USD|100.0|206.0|64.83|0.0|0.0|8330/2203546|8300/2203546
8300|8330|1|2205247|NB|2024-09-13|9999       HILTI|4537360360|38.0|PC|38.0|PC|L11|22.17|USD|100.0|38.0|8.42|0.0|0.0|8330/2205247|8300/2205247
8300|8330|1|2205247|NB|2024-09-13|9999       HILTI|4537360361|38.0|PC|38.0|PC|L11|22.17|USD|100.0|38.0|8.42|0.0|0.0|8330/2205247|8300/2205247
8300|8330|1|2205602|NB|2024-09-13|9999       HILTI|4537360362|45.0|M|45.0|M|L11|8.1|USD|1.0|45.0|364.5|0.0|0.0|8330/2205602|8300/2205602
8300|8330|1|2205602|NB|2024-09-13|9999       HILTI|4537360363|45.0|M|45.0|M|L11|8.1|USD|1.0|45.0|364.5|0.0|0.0|8330/2205602|8300/2205602
8300|8330|1|2216386|NB|2024-09-13|9999       HILTI|4537360364|89.0|PC|89.0|PC|L11|16.19|USD|1.0|89.0|1440.91|0.0|0.0|8330/2216386|8300/2216386
8300|8330|1|2237067|NB|2024-09-13|9999       HILTI|4537360365|10.0|PC|10.0|PC|L11|7.22|USD|100.0|10.0|0.72|0.0|0.0|8330/2237067|8300/2237067
8300|8330|1|2238428|NB|2024-09-13|9999       HILTI|4537360366|73.0|PC|73.0|PC|L11|33.71|USD|1.0|73.0|2460.83|0.0|0.0|8330/2238428|8300/2238428
8300|8330|1|2241678|NB|2024-09-13|9999       HILTI|4537360367|36.0|PC|36.0|PC|L11|6.46|USD|100.0|36.0|2.33|0.0|0.0|8330/2241678|8300/2241678
8300|8330|1|2262104|NB|2024-09-13|9999       HILTI|4537360368|658.0|PC|658.0|PC|L11|42.73|USD|100.0|658.0|281.16|0.0|0.0|8330/2262104|8300/2262104
8300|8330|1|2264520|NB|2024-09-13|9999       HILTI|4537360369|264.0|PC|264.0|PC|L11|41.97|USD|10.0|264.0|1108.01|0.0|0.0|8330/2264520|8300/2264520
8300|8330|1|2203546|NB|2024-09-13|9999       HILTI|4537360371|504.0|PC|504.0|PC|L11|31.47|USD|100.0|504.0|158.61|0.0|0.0|8330/2203546|8300/2203546
8300|8330|1|2262104|NB|2024-09-13|9999       HILTI|4537360372|504.0|PC|504.0|PC|L11|42.73|USD|100.0|504.0|215.36|0.0|0.0|8330/2262104|8300/2262104
