SOrg|Plnt|Material|Material_number|X_Plant_Material_Status|MS|Gross_weight|WUn|Spart|ValidFrom|Minorder_qty|BUn|Orig|Web|FM_rel|Av|PGr|GRT|Typ|MRPCn|Minlot_size|BUn1|SPT|PDT|TABCD|XYZ|Pl|Safety_Stock|Rounding_val|BUn2|Rprofile|LS|Min_dely_qty|BUn3|key_material
8300|8330|2291119|Remote HS Training (PP) angle grinder|14|80|0.0|G|nan|2020-06-24|1.0|PRS|nan|nan|nan|nan|L13|0.0|ND|L13|1.0|PRS|20|10.0|D|Z|X|0.0|1|PRS|Z004|nan|1.0|PRS|8300/2291119
8300|8330|2291840|Remote HS Training (PP) flying sparks|14|80|0.0|G|nan|2020-06-24|1.0|PRS|nan|nan|nan|nan|L13|0.0|ND|L13|1.0|PRS|20|10.0|D|Z|X|0.0|1|PRS|Z004|nan|1.0|PRS|8300/2291840
8300|8330|2291841|Remote HS Training (PP) drilling + demol|14|80|0.0|G|nan|2020-06-24|1.0|PRS|nan|nan|nan|nan|L13|0.0|ND|L13|1.0|PRS|20|10.0|D|Z|X|0.0|1|PRS|Z004|nan|1.0|PRS|8300/2291841
8300|8330|2291842|Remote HS Training (PP) chem product|14|80|0.0|G|nan|2020-06-24|1.0|PRS|nan|nan|nan|nan|L13|0.0|ND|L13|1.0|PRS|20|10.0|D|Z|X|0.0|1|PRS|Z004|nan|1.0|PRS|8300/2291842
8300|8330|2291843|Remote HS Training (PP) dust|14|80|0.0|G|nan|2020-06-24|1.0|PRS|nan|nan|nan|nan|L13|0.0|ND|L13|1.0|PRS|20|10.0|D|Z|X|0.0|1|PRS|Z004|nan|1.0|PRS|8300/2291843
8300|8330|2291844|Remote HS Training (PP) vibration|14|80|0.0|G|nan|2020-06-24|1.0|PRS|nan|nan|nan|nan|L13|0.0|ND|L13|1.0|PRS|20|10.0|D|Z|X|0.0|1|PRS|Z004|nan|1.0|PRS|8300/2291844
8300|8330|2291845|Remote HS Training (PP) gas saw|14|80|0.0|G|nan|2020-06-24|1.0|PRS|nan|nan|nan|nan|L13|0.0|ND|L13|1.0|PRS|20|10.0|D|Z|X|0.0|1|PRS|Z004|nan|1.0|PRS|8300/2291845
8300|8330|2205164|Safe handling (PP) Li-ion batteries|14|80|0.0|G|nan|2018-12-16|1.0|PC|nan|nan|nan|nan|L13|0.0|ND|L13|0.0|PC|nan|0.0|D|Z|X|0.0|0|PC|Z004|nan|1.0|PC|8300/2205164
8300|8330|2205165|Safe handling (PG) Li-ion batteries|14|80|0.0|G|nan|2018-12-16|1.0|PRS|nan|nan|nan|nan|L13|0.0|ND|L13|0.0|PRS|nan|0.0|D|Z|X|0.0|0|PRS|Z004|nan|1.0|PRS|8300/2205165
8300|8330|3950|Flat wrench SW41|14|40|595.0|G|nan|2011-09-03|1.0|PC|JP|nan|nan|ZC|L09|20.0|X6|L09|1.0|PC|4C|540.0|D|N|nan|0.0|1|PC|Z004|PK|1.0|PC|8300/3950
8300|8330|3994|Adhesive LOCTITE 243 50CCM|14|40|78.6|G|X|2011-09-03|1.0|PC|IE|X|nan|ZC|L08|20.0|X6|L08|1.0|PC|4C|540.0|B|N|nan|0.0|1|PC|Z004|PK|1.0|PC|8300/3994
8300|8330|9847|Core bit extension DD-BR-EX 300|14|40|1427.37|G|nan|2011-09-03|1.0|PC|NL|nan|nan|ZC|L05|20.0|X6|L05|1.0|PC|4C|540.0|D|N|nan|0.0|1|PC|Z004|PK|1.0|PC|8300/9847
8300|8330|20847|"Heavy-d. pipe ring MP-MI 3/4"" G"|14|40|126.16|G|nan|2014-07-31|25.0|PC|ES|X|nan|ZC|L06|20.0|X6|L06|25.0|PC|U0|520.0|D|N|nan|0.0|25|PC|Z004|PK|25.0|PC|8300/20847
8300|8330|20851|"Heavy-d. pipe ring MP-MI 1 1/4"" G"|14|40|154.96|G|nan|2014-07-31|25.0|PC|ES|X|nan|ZC|L06|20.0|X6|L06|25.0|PC|U0|520.0|D|N|nan|0.0|25|PC|Z004|PK|25.0|PC|8300/20851
8300|8330|213869|Pressure piece assy|14|40|68.0|G|X|2011-09-03|1.0|PC|CH|X|nan|ZC|L05|20.0|X6|L05|1.0|PC|4C|540.0|D|N|nan|0.0|1|PC|Z004|PK|1.0|PC|8300/213869
8300|8330|216437|Coupling nut M10x30 round|14|40|15.169|G|nan|2011-09-03|50.0|PC|CN|X|nan|ZC|L06|20.0|X6|L06|50.0|PC|4C|540.0|D|N|nan|0.0|50|PC|Z004|PK|50.0|PC|8300/216437
8300|8330|224733|Operating instr. DD 350/500 P1|14|40|663.8|G|nan|2011-09-03|1.0|PC|DE|nan|nan|ZC|L05|20.0|X6|L05|1.0|PC|4C|540.0|D|N|nan|0.0|1|PC|Z004|PK|1.0|PC|8300/224733
8300|8330|226042|Electro box assy|18|40|12800.0|G|nan|2011-09-03|1.0|PC|CH|nan|nan|ZC|L12|20.0|X6|L12|1.0|PC|4C|540.0|D|N|nan|0.0|1|PC|Z004|PK|1.0|PC|8300/226042
8300|8330|229813|"Comfort pipe ring MPN-S 1/2"" A"|18|40|61.76|G|nan|2014-07-31|25.0|PC|ES|X|nan|ZC|L06|20.0|X6|L06|25.0|PC|U0|520.0|D|N|nan|0.0|25|PC|Z004|PK|25.0|PC|8300/229813
8300|8330|229819|Comfort pipe ring MPN-S 35/39 A|18|40|73.0|G|nan|2014-07-31|25.0|PC|ES|X|nan|ZC|L06|20.0|X6|L06|25.0|PC|U0|520.0|D|N|nan|0.0|25|PC|Z004|PK|25.0|PC|8300/229819
8300|8330|236801|Gasket set DD-BV-P|14|40|165.0|G|nan|2011-09-03|1.0|PC|IT|nan|nan|ZC|L05|20.0|X6|L05|1.0|PC|4C|540.0|D|N|nan|0.0|1|PC|Z004|PK|1.0|PC|8300/236801
8300|8330|236802|Seal DD-BAV-10|14|40|110.5|G|nan|2011-09-03|1.0|PC|CH|nan|nan|ZC|L05|20.0|X6|L05|1.0|PC|4C|780.0|D|N|nan|0.0|1|PC|Z004|PK|1.0|PC|8300/236802
8300|8330|244311|Extractor 12-16MM|14|40|97.7|G|nan|2011-09-03|1.0|PC|DE|nan|nan|ZC|L05|20.0|X6|L05|1.0|PC|4C|540.0|D|N|nan|0.0|1|PC|Z004|PK|1.0|PC|8300/244311
8300|8330|244312|Extractor 18-23MM|14|40|199.0|G|nan|2011-09-03|1.0|PC|DE|nan|nan|ZC|L05|20.0|X6|L05|1.0|PC|4C|540.0|D|N|nan|0.0|1|PC|Z004|PK|1.0|PC|8300/244312
