Material|Material_Description|SLoc|SL|Plnt|BUn|Unrestricted|Transit_Transf|Blocked|In_Qual_Insp|Restricted_Use|Returns|Stk_in_Transit|Sorg|key_material
9649|Filter|4500.0|nan|8335|PC|1.0|0|0|0|0|0|0|8300|8300/9649
11052|Hexagon nut M4|nan|nan|3000|PC|0.0|60|0|0|0|0|60|3000|3000/11052
11052|Hexagon nut M4|4500.0|nan|8335|PC|10.0|0|0|0|0|0|0|8300|8300/11052
12143|Hex skt hd cap screw M5X10|4500.0|nan|3070|PC|3.0|0|0|0|0|0|0|3000|3000/12143
12143|Hex skt hd cap screw M5X10|4500.0|nan|8678|PC|2.0|0|0|0|0|0|0|8650|8650/12143
13763|Cover assy|2500.0|nan|8335|PC|6.0|0|0|0|0|0|0|8300|8300/13763
13772|O-ring 31.34X3.53|nan|nan|3000|PC|0.0|100|0|0|0|0|100|3000|3000/13772
13772|O-ring 31.34X3.53|2.0|nan|8335|PC|3.0|0|0|0|0|0|0|8300|8300/13772
13772|O-ring 31.34X3.53|2500.0|nan|8335|PC|4.0|0|0|0|0|0|0|8300|8300/13772
13772|O-ring 31.34X3.53|2500.0|nan|8678|PC|7.0|0|0|0|0|0|0|8650|8650/13772
13772|O-ring 31.34X3.53|2500.0|nan|8770|PC|4.0|0|0|0|0|0|0|8750|8750/13772
13777|Grooved ball bear. 17X40X12-2RS|2500.0|nan|8335|PC|4.0|0|0|0|0|0|0|8300|8300/13777
13777|Grooved ball bear. 17X40X12-2RS|4500.0|nan|8770|PC|14.0|0|0|0|0|0|0|8750|8750/13777
16049|Circlip 25X1.2|4500.0|nan|8335|PC|1.0|0|0|0|0|0|0|8300|8300/16049
16409|Hexagon screw M10X30|50.0|nan|8326|PC|5.0|0|0|0|0|0|0|8300|8300/16409
16409|Hexagon screw M10X30|4500.0|nan|8335|PC|6.0|0|0|0|0|0|0|8300|8300/16409
16409|Hexagon screw M10X30|4500.0|nan|8678|PC|1.0|0|0|0|0|0|0|8650|8650/16409
17904|Switch 100V-240V|2500.0|nan|3070|PC|1.0|0|0|0|0|0|0|3000|3000/17904
17904|Switch 100V-240V|4500.0|nan|3070|PC|4.0|0|0|0|0|0|0|3000|3000/17904
17904|Switch 100V-240V|50.0|nan|8326|PC|7.0|0|0|0|0|0|0|8300|8300/17904
17904|Switch 100V-240V|2500.0|nan|8335|PC|3.0|0|0|0|0|0|0|8300|8300/17904
17904|Switch 100V-240V|4500.0|nan|8335|PC|4.0|0|0|0|0|0|0|8300|8300/17904
17904|Switch 100V-240V|2500.0|nan|8770|PC|2.0|0|0|0|0|0|0|8750|8750/17904
17955|O-ring 24.99X3.53|2500.0|nan|3070|PC|199.0|0|0|0|0|0|0|3000|3000/17955
17955|O-ring 24.99X3.53|50.0|nan|8326|PC|5.0|0|0|0|0|0|0|8300|8300/17955
17955|O-ring 24.99X3.53|2.0|nan|8335|PC|7.0|0|0|0|0|0|0|8300|8300/17955
17955|O-ring 24.99X3.53|2500.0|nan|8335|PC|494.0|0|0|0|0|0|0|8300|8300/17955
17955|O-ring 24.99X3.53|2500.0|nan|8678|PC|110.0|0|0|0|0|0|0|8650|8650/17955
17955|O-ring 24.99X3.53|2500.0|nan|8770|PC|119.0|0|0|0|0|0|0|8750|8750/17955
17972|Ball 7 G100|50.0|nan|8326|PC|8.0|0|0|0|0|0|0|8300|8300/17972
17972|Ball 7 G100|2.0|nan|8335|PC|6.0|0|0|0|0|0|0|8300|8300/17972
17972|Ball 7 G100|9000.0|nan|8335|PC|2.0|0|0|0|0|0|0|8300|8300/17972
17972|Ball 7 G100|2500.0|nan|8678|PC|1.0|0|0|0|0|0|0|8650|8650/17972
17972|Ball 7 G100|4500.0|nan|8678|PC|4.0|0|0|0|0|0|0|8650|8650/17972
17972|Ball 7 G100|2500.0|nan|8770|PC|4.0|0|0|0|0|0|0|8750|8750/17972
17973|Grooved ball bear. 10X26X8|2500.0|nan|3070|PC|5.0|0|0|0|0|0|0|3000|3000/17973
17973|Grooved ball bear. 10X26X8|4500.0|nan|3070|PC|1.0|0|0|0|0|0|0|3000|3000/17973
