13.09.2024                                         Dynamic List Display                                                                                                  1


	SOrg.	Plnt	Name 1	SLoc	Description	Material	Material Description	Profl.	Serial Number		PP	Equipment	Pstng Date	Total	Serials	BUn
	3000	3090	Hilti TS Mexico	0105	3090-0105	2047072	Multi line laser PM 4-M	Z001	170170063		01	300068131757	12.09.2017		     1	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	2049454	Breaker TE 3000-AVR 120V	Z001	85130		01	300063285510	18.08.2017		     1	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	2061409	Laser range meter PD-E	Z001	162166712		01	300061069550	09.11.2016		     1	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	2075613	Angle grinder AG 450-7S	Z001	19834		01	300054361260	24.09.2015		     1	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	2077976	Battery pack B 12/2.6	Z001	523610504		01	300062817526	07.11.2016		     1	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	2110409	Battery pack B 22/5.2 Li-ion	Z001	711021572		01	300068789528	13.10.2017		     1	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	2110532	Battery pack B 22/2.6 Li-ion	Z001	630920406		01	300068789530	13.10.2017		     1	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	2119381	Breaker TE 1000-AVR 120V	Z001	61539		01	300061622088	07.11.2016		     2	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	2119381	Breaker TE 1000-AVR 120V	Z001	93905		01	300069081150	23.04.2018		     2	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	2122712	Rotary hammer TE 3-ML 120V case	Z001	27169		01	300076724661	12.04.2022	   1	     2	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	2122712	Rotary hammer TE 3-ML 120V case	Z001	69194		01	300112271140	12.09.2024	   1	     2	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	2136396	Battery pack B 22/5.2 Li-ion	Z001	819911055		01	300076041485	17.03.2020		     1	PC
	3000	3090	Hilti TS Mexico	0105	3090-0105	2167144	Univ. vacuum cleaner VC 150-6 XE	Z001	15847		01	300072473029	23.04.2018		     1	PC
	3000	3090	Hilti TS Mexico	0106	3090-0106	70748	Angle grinder DCG 180-P 127V	Z001	99000025		01	300031215702	09.06.2010		     1	PC
