
	Material	Material Description	SLoc	SL	Plnt	BUn	   Unrestricted	Transit/Transf.	        Blocked	 In Qual. Insp.	 Restricted-Use	        Returns	 Stk in Transit
	241396	Flush anchor HDV 1/4"x1"	0001		3018	PC	           300	             0	             0	             0	             0	             0	             0
	241397	Flush anchor HDV 3/8"	0001		3000	PC	        23.900	             0	             0	             0	             0	             0	             0
	241397	Flush anchor HDV 3/8"	0001		3002	PC	         1.900	             0	             0	             0	             0	             0	             0
	241397	Flush anchor HDV 3/8"	0001		3010	PC	           100	             0	             0	             0	             0	             0	             0
	241397	Flush anchor HDV 3/8"	0001		3014	PC	           200	             0	             0	             0	             0	             0	             0
	241397	Flush anchor HDV 3/8"	0001		3018	PC	           200	             0	             0	             0	             0	             0	             0
	241397	Flush anchor HDV 3/8"	0001		3022	PC	           100	             0	             0	             0	             0	             0	             0
	241398	Flush anchor HDV 1/2"x2"			3000	PC	             0	           350	             0	             0	             0	             0	           350
	241398	Flush anchor HDV 1/2"x2"	0001		3010	PC	            50	             0	             0	             0	             0	             0	             0
	241398	Flush anchor HDV 1/2"x2"	0001		3018	PC	           100	             0	             0	             0	             0	             0	             0
	243743	Setting tool HSD-G M12 1/2"X50	0001		8750	PC	           248	             0	             0	             0	             0	             0	             0
	243744	Setting tool HSD-G M16 5/8"X65	0001		8750	PC	             2	             0	             0	             0	             0	             0	             0
	243746	Setting tool HSD-M M6 1/4"X25	0001		3000	PC	             1	             0	             0	             0	             0	             0	             0
	243751	Setting tool HSD-M M10 3/8"X40	0001		3000	PC	             5	             0	             0	             0	             0	             0	             0
	243752	Setting tool HSD-M M12 1/2"X50	0001		3000	PC	             5	             0	             0	             0	             0	             0	             0
	244084	Ring	0002		3000	PC	            20	             0	             0	             0	             0	             0	             0
	244105	Pushbutton assy	0002		3000	PC	             4	             0	             0	             0	             0	             0	             0
	244173	Brush holder	0002		3000	PC	             1	             0	             0	             0	             0	             0	             0
	246474	Twist drill bit HSS 1/4" (12)	0001		3000	PC	           432	             0	             0	             0	             0	             0	             0
	246474	Twist drill bit HSS 1/4" (12)	0001		3010	PC	            12	             0	             0	             0	             0	             0	             0
	246474	Twist drill bit HSS 1/4" (12)	0001		3014	PC	            12	             0	             0	             0	             0	             0	             0
	246474	Twist drill bit HSS 1/4" (12)	0001		3016	PC	            12	             0	             0	             0	             0	             0	             0
	246474	Twist drill bit HSS 1/4" (12)	0001		3018	PC	            12	             0	             0	             0	             0	             0	             0
	246474	Twist drill bit HSS 1/4" (12)	0001		3022	PC	            12	             0	             0	             0	             0	             0	             0
	247363	Universal nail X-CR 44P8	0001		3000	PC	           100	             0	             0	             0	             0	             0	             0
	247762	2-hole Baseplate MGS 2-R-M12	0001		3000	PC	            20	             0	             0	             0	             0	             0	             0
	248336	Twist drill bit HSS 6,7x101mm "MP10	0001		8750	PC	           200	             0	             0	             0	             0	             0	             0
