13.09.2024                                                                 Dynamic List Display                                                                                                                           1


	POrg	Plnt	SLoc	Material	Type	Doc. Date	Supplier	Pur. Doc.	Quantity	OUn	Quantity	SKU	PGr	     Net Price	Crcy	    Per	  To be del.	       To be del.	  To be inv.	       To be inv.
	8300	8330	0001	2205247	NB	13.09.2024	9999       HILTI	4537360308	    200	PC	    200	PC	L11	        22,17	USD	   100	        200	           44,34	          0	            0,00
	8300	8330	0001	2208751	NB	13.09.2024	9999       HILTI	4537360310	  2.980	PC	  2.980	PC	L11	         7,34	USD	    10	      2.980	        2.187,32	          0	            0,00
	8300	8330	0001	2216386	NB	13.09.2024	9999       HILTI	4537360312	     68	PC	     68	PC	L11	        16,19	USD	     1	         68	        1.100,92	          0	            0,00
	8300	8330	0001	2226740	NB	13.09.2024	9999       HILTI	4537360314	     68	PC	     68	PC	L11	       105,27	USD	     1	         68	        7.158,36	          0	            0,00
	8300	8330	0001	2238428	NB	13.09.2024	9999       HILTI	4537360316	     68	PC	     68	PC	L11	        33,71	USD	     1	         68	        2.292,28	          0	            0,00
	8300	8330	0001	2241678	NB	13.09.2024	9999       HILTI	4537360320	    200	PC	    200	PC	L11	         6,46	USD	   100	        200	           12,92	          0	            0,00
	8300	8330	0001	2276323	NB	13.09.2024	9999       HILTI	4537360322	    100	PC	    100	PC	L11	        33,66	USD	    10	        100	          336,60	          0	            0,00
	8300	8330	0001	2203504	NB	13.09.2024	9999       HILTI	4537360324	    170	PC	    170	PC	L11	         5,10	USD	     1	        170	          867,00	          0	            0,00
	8300	8330	0001	2203546	NB	13.09.2024	9999       HILTI	4537360327	    800	PC	    800	PC	L11	        31,47	USD	   100	        800	          251,76	          0	            0,00
	8300	8330	0001	2208750	NB	13.09.2024	9999       HILTI	4537360329	    800	PC	    800	PC	L11	        52,19	USD	   100	        800	          417,52	          0	            0,00
	8300	8330	0001	2208751	NB	13.09.2024	9999       HILTI	4537360332	  1.900	PC	  1.900	PC	L11	         7,34	USD	    10	      1.900	        1.394,60	          0	            0,00
	8300	8330	0001	2216386	NB	13.09.2024	9999       HILTI	4537360334	    120	PC	    120	PC	L11	        16,19	USD	     1	        120	        1.942,80	          0	            0,00
	8300	8330	0001	2216424	NB	13.09.2024	9999       HILTI	4537360336	      8	PC	      8	PC	L11	        25,76	USD	     1	          8	          206,08	          0	            0,00
	8300	8330	0001	2230432	NB	13.09.2024	9999       HILTI	4537360338	    300	PC	    300	PC	L11	         4,99	USD	    10	        300	          149,70	          0	            0,00
	8300	8330	0001	2238428	NB	13.09.2024	9999       HILTI	4537360339	     40	PC	     40	PC	L11	        33,71	USD	     1	         40	        1.348,40	          0	            0,00
	8300	8330	0001	2241678	NB	13.09.2024	9999       HILTI	4537360341	    700	PC	    700	PC	L11	         6,46	USD	   100	        700	           45,22	          0	            0,00
	8300	8330	0001	2203488	NB	13.09.2024	9999       HILTI	4537360343	     12	M	     12	M	L11	        26,13	USD	     1	         12	          313,56	          0	            0,00
